school,conference,season,fy_end,measure,amount,share_type,source,notes
Clemson,ACC,2020-21,2021-06-30,distribution,38133715,full,form_990,
North Carolina,ACC,2020-21,2021-06-30,distribution,37453825,full,form_990,
NC State,ACC,2020-21,2021-06-30,distribution,36518175,full,form_990,
Louisville,ACC,2020-21,2021-06-30,distribution,36303512,full,form_990,
Miami,ACC,2020-21,2021-06-30,distribution,36061753,full,form_990,
Boston College,ACC,2020-21,2021-06-30,distribution,36016208,full,form_990,
Florida State,ACC,2020-21,2021-06-30,distribution,35945682,full,form_990,
Virginia,ACC,2020-21,2021-06-30,distribution,35872719,full,form_990,
Wake Forest,ACC,2020-21,2021-06-30,distribution,35846667,full,form_990,
Virginia Tech,ACC,2020-21,2021-06-30,distribution,35814983,full,form_990,
Syracuse,ACC,2020-21,2021-06-30,distribution,35785906,full,form_990,
Duke,ACC,2020-21,2021-06-30,distribution,35662565,full,form_990,
Georgia Tech,ACC,2020-21,2021-06-30,distribution,35463565,full,form_990,
Pittsburgh,ACC,2020-21,2021-06-30,distribution,35318448,full,form_990,
Notre Dame,ACC,2020-21,2021-06-30,distribution,34899808,full,form_990,Played 2020 as a full ACC football member under COVID scheduling and shared its NBC revenue with the league; the only year NBC money reaches an ACC filing
Cincinnati,American,2020-21,2021-06-30,distribution,9437760,full,form_990,American Athletic Conference member
Houston,American,2020-21,2021-06-30,distribution,8522780,full,form_990,American Athletic Conference member
UCF,American,2020-21,2021-06-30,distribution,7964885,full,form_990,American Athletic Conference member
SMU,American,2020-21,2021-06-30,distribution,7647255,full,form_990,American Athletic Conference member
Oklahoma,Big 12,2020-21,2021-06-30,distribution,36472914,full,form_990,
Iowa State,Big 12,2020-21,2021-06-30,distribution,36410767,full,form_990,
Texas,Big 12,2020-21,2021-06-30,distribution,35743161,full,form_990,
Oklahoma State,Big 12,2020-21,2021-06-30,distribution,35475594,full,form_990,
West Virginia,Big 12,2020-21,2021-06-30,distribution,35253046,full,form_990,
Kansas,Big 12,2020-21,2021-06-30,distribution,34999814,full,form_990,
TCU,Big 12,2020-21,2021-06-30,distribution,34783984,full,form_990,
Texas Tech,Big 12,2020-21,2021-06-30,distribution,34774077,full,form_990,
Baylor,Big 12,2020-21,2021-06-30,distribution,34758666,full,form_990,
Kansas State,Big 12,2020-21,2021-06-30,distribution,34709588,full,form_990,
Michigan,Big Ten,2020-21,2021-06-30,distribution,49077864,full,form_990,
Illinois,Big Ten,2020-21,2021-06-30,distribution,48986292,full,form_990,
Ohio State,Big Ten,2020-21,2021-06-30,distribution,48977864,full,form_990,
Iowa,Big Ten,2020-21,2021-06-30,distribution,48977864,full,form_990,
Purdue,Big Ten,2020-21,2021-06-30,distribution,48977864,full,form_990,
Michigan State,Big Ten,2020-21,2021-06-30,distribution,48977864,full,form_990,
Wisconsin,Big Ten,2020-21,2021-06-30,distribution,48977864,full,form_990,
Indiana,Big Ten,2020-21,2021-06-30,distribution,48902864,full,form_990,
Minnesota,Big Ten,2020-21,2021-06-30,distribution,48902864,full,form_990,
Northwestern,Big Ten,2020-21,2021-06-30,distribution,48902864,full,form_990,
Penn State,Big Ten,2020-21,2021-06-30,distribution,48892864,full,form_990,
Nebraska,Big Ten,2020-21,2021-06-30,distribution,46002896,reduced,form_990,Reduced share from Big Ten Network earnings predating the 2011 entry
Rutgers,Big Ten,2020-21,2021-06-30,distribution,43190258,partial,form_990,"2014 entry agreement, reduced share"
Maryland,Big Ten,2020-21,2021-06-30,distribution,43190258,partial,form_990,"2014 entry agreement, reduced share"
Stanford,Pac-12,2020-21,2021-06-30,distribution,19886942,full,form_990,
Arizona State,Pac-12,2020-21,2021-06-30,distribution,19877538,full,form_990,
UCLA,Pac-12,2020-21,2021-06-30,distribution,19852886,full,form_990,
California,Pac-12,2020-21,2021-06-30,distribution,19843675,full,form_990,
Utah,Pac-12,2020-21,2021-06-30,distribution,19801410,full,form_990,
USC,Pac-12,2020-21,2021-06-30,distribution,19800923,full,form_990,
Arizona,Pac-12,2020-21,2021-06-30,distribution,19790240,full,form_990,
